second;src;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;fe80::c30c:0:0:b;30;0;31;0;0
60.0;fe80::c30c:0:0:4;30;0;37;0;0
60.0;fe80::c30c:0:0:9;30;0;68;0;0
60.0;fe80::c30c:0:0:8;30;0;33;0;0
60.0;fe80::c30c:0:0:5;30;0;0;0;0
60.0;fe80::c30c:0:0:7;30;0;0;0;0
60.0;fe80::c30c:0:0:c;0;827;23;0;1
60.0;fe80::c30c:0:0:a;0;0;9;0;0
60.0;fe80::c30c:0:0:3;30;0;0;0;0
60.0;fe80::c30c:0:0:6;30;0;0;0;0
65.0;fe80::c30c:0:0:b;60;0;75;0;0
65.0;fe80::c30c:0:0:4;0;0;14;0;0
65.0;fe80::c30c:0:0:9;30;0;0;0;0
65.0;fe80::c30c:0:0:8;30;0;38;0;0
65.0;fe80::c30c:0:0:5;30;0;2;0;0
65.0;fe80::c30c:0:0:7;30;0;0;0;0
65.0;fe80::c30c:0:0:2;60;0;311;0;0
65.0;fe80::c30c:0:0:c;0;333;0;0;1
65.0;fe80::c30c:0:0:3;30;0;0;0;0
65.0;fe80::c30c:0:0:6;30;0;312;0;0
70.0;fe80::c30c:0:0:b;30;0;0;0;0
70.0;fe80::c30c:0:0:4;60;0;0;0;0
70.0;fe80::c30c:0:0:9;30;0;62;0;0
70.0;fe80::c30c:0:0:8;30;0;0;0;0
70.0;fe80::c30c:0:0:5;30;0;3;0;0
70.0;fe80::c30c:0:0:7;30;0;0;0;0
70.0;fe80::c30c:0:0:2;30;0;0;0;0
70.0;fe80::c30c:0:0:c;0;468;0;0;1
70.0;fe80::c30c:0:0:a;90;0;12;0;0
70.0;fe80::c30c:0:0:6;30;0;0;0;0
75.0;fe80::c30c:0:0:b;30;0;37;0;0
75.0;fe80::c30c:0:0:4;30;0;0;0;0
75.0;fe80::c30c:0:0:9;30;0;44;0;0
75.0;fe80::c30c:0:0:8;30;0;312;0;0
75.0;fe80::c30c:0:0:5;30;0;305;0;0
75.0;fe80::c30c:0:0:7;30;0;0;0;0
75.0;fe80::c30c:0:0:2;30;0;62;0;0
75.0;fe80::c30c:0:0:c;0;312;0;0;1
75.0;fe80::c30c:0:0:a;30;0;115;0;0
75.0;fe80::c30c:0:0:6;30;0;0;0;0
80.0;fe80::c30c:0:0:b;30;0;30;0;0
80.0;fe80::c30c:0:0:4;30;0;2;0;0
80.0;fe80::c30c:0:0:9;30;0;39;0;0
80.0;fe80::c30c:0:0:8;30;0;30;0;0
80.0;fe80::c30c:0:0:5;30;0;0;0;0
80.0;fe80::c30c:0:0:2;30;0;12;0;0
80.0;fe80::c30c:0:0:c;0;624;21;0;1
80.0;fe80::c30c:0:0:a;30;0;18;0;0
80.0;fe80::c30c:0:0:3;30;0;0;0;0
80.0;fe80::c30c:0:0:6;30;0;0;0;0
85.0;fe80::c30c:0:0:b;0;0;3;0;0
85.0;fe80::c30c:0:0:4;30;0;283;0;0
85.0;fe80::c30c:0:0:9;30;0;0;0;0
85.0;fe80::c30c:0:0:8;30;0;0;0;0
85.0;fe80::c30c:0:0:5;30;0;25;0;0
85.0;fe80::c30c:0:0:7;60;0;0;0;0
85.0;fe80::c30c:0:0:2;0;0;5;0;0
85.0;fe80::c30c:0:0:c;0;567;0;0;1
85.0;fe80::c30c:0:0:a;30;0;35;0;0
85.0;fe80::c30c:0:0:6;30;0;0;0;0
90.0;fe80::c30c:0:0:b;46;0;33;0;0
90.0;fe80::c30c:0:0:4;60;0;312;0;0
90.0;fe80::c30c:0:0:9;55;0;302;0;0
90.0;fe80::c30c:0:0:8;52;0;9;0;0
90.0;fe80::c30c:0:0:5;30;0;17;0;0
90.0;fe80::c30c:0:0:7;30;0;0;0;0
90.0;fe80::c30c:0:0:2;0;0;8;0;0
90.0;fe80::c30c:0:0:c;0;470;37;0;1
90.0;fe80::c30c:0:0:a;30;0;48;0;0
90.0;fe80::c30c:0:0:6;30;0;0;0;0
95.0;fe80::c30c:0:0:b;30;0;0;0;0
95.0;fe80::c30c:0:0:9;0;0;3;0;0
95.0;fe80::c30c:0:0:5;30;0;0;0;0
95.0;fe80::c30c:0:0:7;30;0;0;0;0
95.0;fe80::c30c:0:0:2;120;0;0;0;0
95.0;fe80::c30c:0:0:c;0;621;6;0;1
95.0;fe80::c30c:0:0:a;30;0;11;0;0
95.0;fe80::c30c:0:0:6;30;0;0;0;0
100.0;fe80::c30c:0:0:b;30;0;19;0;0
100.0;fe80::c30c:0:0:4;30;0;18;0;0
100.0;fe80::c30c:0:0:9;30;0;21;0;0
100.0;fe80::c30c:0:0:8;30;0;107;0;0
100.0;fe80::c30c:0:0:5;30;0;0;0;0
100.0;fe80::c30c:0:0:7;30;0;0;0;0
100.0;fe80::c30c:0:0:2;0;0;31;0;0
100.0;fe80::c30c:0:0:c;0;627;15;0;1
100.0;fe80::c30c:0:0:a;30;0;31;0;0
100.0;fe80::c30c:0:0:6;30;0;0;0;0
105.0;fe80::c30c:0:0:b;60;0;0;0;0
105.0;fe80::c30c:0:0:4;30;0;0;0;0
105.0;fe80::c30c:0:0:9;9;0;0;0;0
105.0;fe80::c30c:0:0:8;30;0;103;0;0
105.0;fe80::c30c:0:0:5;30;0;115;0;0
105.0;fe80::c30c:0:0:7;30;0;0;0;0
105.0;fe80::c30c:0:0:2;30;0;21;0;0
105.0;fe80::c30c:0:0:c;0;468;3;0;1
105.0;fe80::c30c:0:0:a;30;0;12;0;0
105.0;fe80::c30c:0:0:6;30;0;0;0;0
110.0;fe80::c30c:0:0:4;30;0;0;0;0
110.0;fe80::c30c:0:0:9;51;0;64;0;0
110.0;fe80::c30c:0:0:8;30;0;17;0;0
110.0;fe80::c30c:0:0:5;30;0;35;0;0
110.0;fe80::c30c:0:0:7;30;0;0;0;0
110.0;fe80::c30c:0:0:2;30;0;0;0;0
110.0;fe80::c30c:0:0:c;0;468;15;0;1
110.0;fe80::c30c:0:0:a;30;0;13;0;0
110.0;fe80::c30c:0:0:6;30;0;0;0;0
115.0;fe80::c30c:0:0:b;30;0;0;0;0
115.0;fe80::c30c:0:0:4;30;0;77;0;0
115.0;fe80::c30c:0:0:9;30;0;0;0;0
115.0;fe80::c30c:0:0:8;30;0;0;0;0
115.0;fe80::c30c:0:0:5;30;0;0;0;0
115.0;fe80::c30c:0:0:7;30;0;0;0;0
115.0;fe80::c30c:0:0:2;30;0;19;0;0
115.0;fe80::c30c:0:0:c;0;780;3;0;1
115.0;fe80::c30c:0:0:a;12;0;0;0;0
115.0;fe80::c30c:0:0:6;30;0;0;0;0
120.0;fe80::c30c:0:0:b;60;0;26;0;0
120.0;fe80::c30c:0:0:4;30;0;0;0;0
120.0;fe80::c30c:0:0:9;30;0;0;0;0
120.0;fe80::c30c:0:0:8;30;0;0;0;0
120.0;fe80::c30c:0:0:7;30;0;0;0;0
120.0;fe80::c30c:0:0:2;30;0;0;0;0
120.0;fe80::c30c:0:0:c;0;624;0;0;1
120.0;fe80::c30c:0:0:a;48;0;0;0;0
120.0;fe80::c30c:0:0:6;60;0;0;0;0
125.0;fe80::c30c:0:0:4;30;0;246;0;0
125.0;fe80::c30c:0:0:9;30;0;0;0;0
125.0;fe80::c30c:0:0:8;30;0;312;0;0
125.0;fe80::c30c:0:0:5;60;0;0;0;0
