second;src;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;fe80::c30c:0:0:8;60;0;71;0;0
60.0;fe80::c30c:0:0:4;30;0;51;0;0
60.0;fe80::c30c:0:0:c;0;1160;23;0;1
60.0;fe80::c30c:0:0:a;0;0;9;0;0
60.0;fe80::c30c:0:0:5;60;0;2;0;0
60.0;fe80::c30c:0:0:2;60;0;311;0;0
60.0;fe80::c30c:0:0:6;60;0;312;0;0
60.0;fe80::c30c:0:0:3;60;0;0;0;0
60.0;fe80::c30c:0:0:9;60;0;68;0;0
60.0;fe80::c30c:0:0:7;60;0;0;0;0
60.0;fe80::c30c:0:0:b;90;0;106;0;0
70.0;fe80::c30c:0:0:8;60;0;312;0;0
70.0;fe80::c30c:0:0:4;90;0;0;0;0
70.0;fe80::c30c:0:0:c;0;780;0;0;1
70.0;fe80::c30c:0:0:5;60;0;308;0;0
70.0;fe80::c30c:0:0:a;120;0;127;0;0
70.0;fe80::c30c:0:0:2;60;0;62;0;0
70.0;fe80::c30c:0:0:6;60;0;0;0;0
70.0;fe80::c30c:0:0:9;60;0;106;0;0
70.0;fe80::c30c:0:0:7;60;0;0;0;0
70.0;fe80::c30c:0:0:b;60;0;37;0;0
80.0;fe80::c30c:0:0:8;60;0;30;0;0
80.0;fe80::c30c:0:0:4;60;0;285;0;0
80.0;fe80::c30c:0:0:c;0;1191;21;0;1
80.0;fe80::c30c:0:0:a;60;0;53;0;0
80.0;fe80::c30c:0:0:2;30;0;17;0;0
80.0;fe80::c30c:0:0:5;60;0;25;0;0
80.0;fe80::c30c:0:0:6;60;0;0;0;0
80.0;fe80::c30c:0:0:3;30;0;0;0;0
80.0;fe80::c30c:0:0:9;60;0;39;0;0
80.0;fe80::c30c:0:0:7;60;0;0;0;0
80.0;fe80::c30c:0:0:b;30;0;33;0;0
90.0;fe80::c30c:0:0:8;52;0;9;0;0
90.0;fe80::c30c:0:0:4;60;0;312;0;0
90.0;fe80::c30c:0:0:c;0;1091;43;0;1
90.0;fe80::c30c:0:0:5;60;0;17;0;0
90.0;fe80::c30c:0:0:2;120;0;8;0;0
90.0;fe80::c30c:0:0:a;60;0;59;0;0
90.0;fe80::c30c:0:0:6;60;0;0;0;0
90.0;fe80::c30c:0:0:9;55;0;305;0;0
90.0;fe80::c30c:0:0:7;60;0;0;0;0
90.0;fe80::c30c:0:0:b;76;0;33;0;0
100.0;fe80::c30c:0:0:8;60;0;210;0;0
100.0;fe80::c30c:0:0:4;60;0;18;0;0
100.0;fe80::c30c:0:0:c;0;1095;18;0;1
100.0;fe80::c30c:0:0:5;60;0;115;0;0
100.0;fe80::c30c:0:0:a;60;0;43;0;0
100.0;fe80::c30c:0:0:2;30;0;52;0;0
100.0;fe80::c30c:0:0:6;60;0;0;0;0
100.0;fe80::c30c:0:0:9;39;0;21;0;0
100.0;fe80::c30c:0:0:7;60;0;0;0;0
100.0;fe80::c30c:0:0:b;90;0;19;0;0
110.0;fe80::c30c:0:0:8;60;0;17;0;0
110.0;fe80::c30c:0:0:4;60;0;77;0;0
110.0;fe80::c30c:0:0:c;0;1248;18;0;1
110.0;fe80::c30c:0:0:5;60;0;35;0;0
110.0;fe80::c30c:0:0:2;60;0;19;0;0
110.0;fe80::c30c:0:0:a;42;0;13;0;0
110.0;fe80::c30c:0:0:6;60;0;0;0;0
110.0;fe80::c30c:0:0:9;81;0;64;0;0
110.0;fe80::c30c:0:0:7;60;0;0;0;0
110.0;fe80::c30c:0:0:b;30;0;0;0;0
120.0;fe80::c30c:0:0:8;60;0;312;0;0
120.0;fe80::c30c:0:0:4;60;0;246;0;0
120.0;fe80::c30c:0:0:c;0;1092;20;0;1
120.0;fe80::c30c:0:0:a;78;0;14;0;0
120.0;fe80::c30c:0:0:2;60;0;27;0;0
120.0;fe80::c30c:0:0:5;60;0;0;0;0
120.0;fe80::c30c:0:0:6;60;0;0;0;0
120.0;fe80::c30c:0:0:9;60;0;0;0;0
120.0;fe80::c30c:0:0:7;60;0;0;0;0
